#;Tier (1/2/3);Scope;Control Reference;Control Name;Design Effectiveness Assessment;Test Procedures ;Answers based on Clients data
1;1;Model Governance and Oversight;1.1;IFRS9 Policy (1);Is there a formal policy for the calculation of Expected Credit Loss / IFRS 9 approved by Senior Management or the governing body?;Test 1.1: Obtain the IFRS 9 Policy. Verify the approval date and signature. Confirm it was approved by the Board or ALCO.;"Sí. Existe una política formal llamada ""Política de Previsionamiento"" (modificada sep 2025). El documento establece explícitamente que el Directorio es el responsable de aprobar el modelo de estimación de deterioro y los parámetros utilizados."
2;1;Model Governance and Oversight;1.2;IFRS9 Policy (2);Are the IFRS 9 policy and procedures aligned with the requirements of the applicable international standards (IFRS 9 for 5.5) and local regulations?;Test 1.2: Review the policy's 'Scope' and 'Definitions' for explicit references to these standards and local circulars, then check if they are compliant with them overall;"Parcial. La política define explícitamente en su ""Introducción"" y ""Alcance"" que su propósito es estar acorde con lo establecido por el Punto 5.5 de NIIF 9. Asimismo, menciona normativas locales aplicables como la Comunicación ""A"" 6847 para exclusiones del Sector Público. Adicionalmente, el Banco está actualizando sus procedimientos para alinearse con el punto B5.5.17 (incremento significativo de riesgo) tras la inspección. Sin embargo, No se han relizado validaciones independientes del para estimar ECL "
3;1;Model Governance and Oversight;1.3;IFRS9 Methodological Document;Are there formal controls and procedures to ensure that IFRS 9 methodologies are applied consistently and traceably?;Test 1.3: Review the Methodological Manual. Verify detailed chapters exist for every risk parameter (PD, LGD, EAD, FLI).;Sí. La Política de Previsionamiento contiene capítulos metodológicos detallados para cada parámetro de riesgo requerido: Pérdida Crediticia Esperada (Sección 4.5), PD (Sección 4.6), LGD (Sección 4.7), EAD (Sección 4.8) y PD Forward Looking (Sección 4.10).
5;1;Model Governance and Oversight;1.5;Roles and Responsibilities;Are the roles and responsibilities of the IFRS 9 process (development, validation, business, reporting, etc.) clearly defined and documented?;Test 1.5: Review (if there is) 'Roles & Responsibilities' section. Verify that the team developing the model is different from the team validating it.;"Sí. La política establece formalmente que la Gerencia de Riesgo y Cumplimiento (junto con Riesgo Crediticio) debe revisar el modelo ""como mínimo anualmente"" y/o cada vez que se produzcan hechos que puedan alterar la metodología."
9;1;Data Quality and Sources;2.1;Data Representativeness;is a representativeness testing performed? Evaluate if the data used is relevant e.g., using MEVs (macro economic variables) that are relevant to the portfolio in hand?;Test 2.1: Evaluate if the data used is relevant and representative, specifically check if it includes downturn/crisis periods      ;"Parcialmente Documentado. La Política identifica rubros contables generales (ej. 130000 Préstamos) y aplicativos específicos (ej. ""aplicativo de Préstamos"", ""descuento de cheques""), así como fuentes externas como Nosis y RIPTE/CER. No obstante, no se evidencia un diagrama de arquitectura de datos formal o un linaje detallado de sistemas en el texto provisto."
16;1;Segmentation;3.1;Segmentation Adequacy;Does segmentation adequately distinguish between collective and individual treatment, where applicable?;Test 3.1: Review the Segmentation Policy. Verify that clear, mutually exclusive criteria (whether quantitative thresholds, specific risk characteristics, or lack of historical data) are defined to assign exposures to either Individual or Collective assessment. ;Sí. Los criterios están definidos: operaciones que no se liquidan en aplicativos estándar o casos especiales (ej. emergencia agropecuaria). Para estos casos, se utiliza un modelo de score específico con 10 variables (ej. Situación en Sistema Financiero, Atraso, Apalancamiento).
17;1;Segmentation;3.2;Segmentation Review;Is there a defined process (quantitative and/or qualitative) to determine and review segmentation (homogeneity/heterogeneity, concentration, stability, etc.)?;"Test 3.2: Request the last ""Segmentation Review"" report or similar in the documentation. Did they check if segments are still distinct?";"No. La política define reglas de mapeo específicas basadas en ""Tipos de Operación"" (ej. Banca Empresa = Tipos 3, 6, 8). Existe un control explícito para asegurar que, tras el filtrado, no queden operaciones sin segmento asignado. Sin embargo no existen reglas claras de analisis/procesos cuantitativo de la segmentacion ni de su estabilidad en el tiempo."
20;2;Segmentation;3.5;Segmentation Rule Controls;Are there controls to verify that segmentation rules are correctly applied to the model input data?;Test 3.5: Analyze the loan tape. Check for misclassified loans (e.g., a Corporate loan in the Retail segment).;
;1;Segmentation;3.6;;Is the segmentation quantitativelly backed  ?;"Test 3.6: Request the last ""Segmentation Review"" report. Did they check if segments are still distinct?";No. La segmentación no está respaldada cuantitativamente. No se han ejecutado tests cuantitativos (homogeneidad, heterogeneidad, PSI, concentración) para asegurar que la segmentación es adecuada
21;1;Definition of Default;4.1;Default Definition;Is the definition of default documented and consistent with the reference regulation (e.g., more than 90 days past due, unlikeliness-to-pay criteria, etc.)?;"Test 4.1: Verify Policy text explicitly mentions ""90 days"" and lists UTP triggers (bankruptcy, restructuring)  to send to Stage 3 or  materiality thresholds compliant to the DoD of IFRS 9 regulation.";"Parcial.  La respuesta a la inspección confirma que la metodología de ""contagio de stage"" entre operaciones del mismo cliente ""Ya se encuentra operativa en la metodología actual"".No existen criterios UTP para entradas en stage 3 ni umbral de materialidad de acuerdo con la nueva DoD"
22;1;Definition of Default;4.2;Default Consistency;Is the default definition applied consistently across staging, PD, LGD, and other model components?;Test 4.2: Compare the Default definition in the IFRS 9 Manual vs. the Basel/Capital Manual. They should match.;No, si bien existen cambios en curso. La Sección 4.6 documenta la metodología actual (curvas de frecuencia histórica promediadas). Sin embargo, el BCRA observó que el cálculo se basaba en montos en lugar de casos. El Banco se comprometió a cambiar la metodología para usar cantidad de casos (exposiciones individuales).
23;1;Risk Contagion;5.1;Contagion Policy;Is there a formal policy or criterion for risk contagion among exposures of the same client or economic group?;"Test 5.1: Review Policy. Look for if the ""Pulling Effect"" rule (e.g., if 20% of exposure is default, all is default) exists.";Ajustándose a PiT. El BCRA señaló que la ventana histórica de 8 años era excesiva para el enfoque Point-in-Time (PiT) requerido para Stage 1. El Banco está implementando una nueva ventana de 36 meses para reflejar mejor las condiciones económicas actuales. El componente Forward Looking ya utiliza un modelo SARIMAX sensible a variables exógenas (RIPTE).
25;1;Risk Contagion;5.3;Contagion Controls;Are there controls or periodic reviews to verify that stage contagion is correctly applied in practice?;Test 5.3: Identify a client with one defaulted loan. Check if their other performing loans are flagged as Stage 3.;Sí. La metodología se encuentra documentada y justificada. Para construir la cola de la curva en los casos donde faltan datos históricos recientes (triángulos de observaciones faltantes), el Banco utiliza explícitamente la técnica Chain Ladder (development methodology) para estimar y proyectar los valores hasta el mes 60. No obstante, el umbral del 30% utilizado en el criterio de contagio entre operaciones del mismo cliente no está sustentado por análisis cuantitativos. Asimismo, si bien el modelo contempla la existencia de contagio entre operaciones del mismo cliente, no se dispone de controles periódicos ni evidencia documental que demuestre que dicha regla se aplica de manera consistente en la práctica. No existen reportes que verifiquen si todas las operaciones relacionadas se reclasifican adecuadamente cuando una entra en incumplimiento, ni pruebas de revisión manual o automatizada que permitan detectar inconsistencias.
26;1;PD;6.1;PD Documentation;Is the PD estimation methodology clearly documented (data sources, horizon, statistical technique, target population, assumptions)?;Test 6.1: Verify the document explains how the PD is calculated step-by-step (Formulas, Variables).;Parcial. La metodología de PD presenta una explicación teórica y la política incluye resultados de validación estadística para el modelo Forward Looking (SARIMAX), incluyendo indicadores como AIC, BIC, pruebas de Ljung-Box y significatividad de parámetros (p-values). Asimismo, para la nueva PD se contemplan pruebas de cálculo en paralelo durante el período de transición. No obstante, la reducción de la ventana histórica a 36 meses y la exclusión de datos anteriores a 2021 se basan principalmente en inspección visual y juicio experto, sin análisis cuantitativos o de sensibilidad que respalden estas decisiones. Tampoco se detalla cuántas curvas históricas se utilizan ni se presentan análisis que evalúen la representatividad histórica o la presencia de períodos atípicos (como COVID), lo que limita la solidez y trazabilidad de la metodología conforme a NIIF 9.a
