#;Tier (1/2/3);Scope;Control Reference;Design Effectiveness Assessment;Test Procedures ;Answers based on Clients data;Findings 04/12 Juan
1;1;Model Governance and Oversight;1.1;Is there a formal policy for the calculation of Expected Credit Loss / IFRS 9 approved by Senior Management or the governing body?;Test 1.1: Obtain the IFRS 9 Policy. Verify the approval date and signature. Confirm it was approved by the Board or ALCO.;"Sí. Existe una política formal llamada ""Política de Previsionamiento"" (modificada sep 2025)1. El documento establece explícitamente que el Directorio es el responsable de aprobar el modelo de estimación de deterioro y los parámetros utilizados.";
2;1;Model Governance and Oversight;1.2;Are the IFRS 9 policy and procedures aligned with the requirements of the applicable standard and local regulation?;Test 1.2: Review Policy 'Scope' and 'Definitions'. Confirm explicit references to IFRS 9 para 5.5 and relevant local circulars.;"Sí. La política define explícitamente en su ""Introducción"" y ""Alcance"" que su propósito es estar acorde con lo establecido por el Punto 5.5 de NIIF 93. Asimismo, menciona normativas locales aplicables como la Comunicación ""A"" 6847 para exclusiones del Sector Público4. Adicionalmente, el Banco está actualizando sus procedimientos para alinearse con el punto B5.5.17 (incremento significativo de riesgo) tras la inspección.";
3;1;Model Governance and Oversight;1.3;Are there formal controls and procedures to ensure that IFRS 9 methodologies are applied consistently and traceably?;Test 1.3: Review the Methodological Manual. Verify detailed chapters exist for every risk parameter (PD, LGD, EAD, FLI).;Sí. La Política de Previsionamiento contiene capítulos metodológicos detallados para cada parámetro de riesgo requerido: Pérdida Crediticia Esperada (Sección 4.5) 6, PD (Sección 4.6) 7, LGD (Sección 4.7) 8, EAD (Sección 4.8) 9y PD Forward Looking (Sección 4.10)10.;
4;3;Model Governance and Oversight;1.4;Is documentation written in a clear, structured, and comprehensive manner so that an independent third party can fully understand and replicate the process without relying on internal knowledge?  Are the Assumptions clearly documented? Check versioning and last revision.;Test 1.4: (Deep Dive) Attempt to rebuild a small model component (e.g., a specific LGD segment) strictly following the manual. Note gaps. If full rebuild is impossible due to time, trace the logic of one specific formula (e.g., LGD Haircut) from the text to the code;Parcialmente. Los roles están definidos en la Sección 3 de la Política11. La Gerencia de Riesgo y Cumplimiento participa en el desarrollo1212. Sin embargo, el BCRA observó la falta de una validación independiente interna13. En respuesta, el Banco confirmó que está contratando un proveedor externo para realizar la validación, asegurando así la independencia técnica y funcional respecto al equipo desarrollador, subsanando el conflicto de segregación de funciones14.;
5;1;Model Governance and Oversight;1.5;Are the roles and responsibilities of the IFRS 9 process (development, validation, business, reporting, etc.) clearly defined and documented?;Test 1.5: Review (if there is) 'Roles & Responsibilities' section. Verify that the team developing the model is different from the team validating it.;"Sí. La política establece formalmente que la Gerencia de Riesgo y Cumplimiento (junto con Riesgo Crediticio) debe revisar el modelo ""como mínimo anualmente"" y/o cada vez que se produzcan hechos que puedan alterar la metodología15151515.";
6;2;Model Governance and Oversight;1.6;Is there a formal process for periodic review of IFRS 9 models (e.g., at least annually)?;"Test 1.6: Check the Validation Policy for a clause requiring ""Annual Review"" or ""Event-driven Review"".";"Sí (Vía Regulatoria). La ""Respuesta Memorando final Inspección 2025"" funciona como un inventario formal de hallazgos. El documento registra observaciones de revisiones anteriores (19/04/23) que estaban pendientes 16y nuevas observaciones de la inspección actual17, detallando el estado de regularización de cada punto.";
7;3;Model Governance and Oversight;1.7;Is there a record of findings from internal validations, audits, and supervisory reviews, including details of corrective actions and closure status?;"Test 1.7: Request the ""Findings Tracker"" Excel/System. Check if past audit points are logged.";"Sí. El documento de respuesta detalla exhaustivamente la gestión de los hallazgos: identifica el origen (Inspección BCRA) 18, describe las medidas adoptadas (ej. incorporación de nuevos criterios de ""contagio de stage"" o justificación de no uso de garantías en LGD) 19191919, y asigna un responsable de implementación con nombre y contacto (Marcela Buiguez)20. También se referencia la evidencia de cierre, como el envío de Actas de Comité para puntos ya regularizados21.";
8;3;Model Governance and Oversight;1.8;Is it documented who identified the findings, what measures were adopted, and how their resolution was verified?;"Test 1.8: Select 3 ""Closed"" findings. Request evidence (emails, reports) proving they were actually fixed and verified.";En revisión. El modelo actual de Forward Looking utiliza datos desde feb-2021, descartando historia previa por cambios de comportamiento1. Sin embargo, para la PD de Stage 1, la inspección observó que la ventana histórica de 8 años era excesiva para un enfoque Point-in-Time (PiT)2. El Banco está transicionando a una ventana de 36 meses para reflejar mejor las condiciones actuales, a implementarse en septiembre 20253.;
9;1;Data Quality and Sources;2.1;Representativeness testing performed? Data used is relevant e.g., using MEVs that are relevant to the portfolio in hand?;Test 2.1: Check the date range of training data. Does it include a downturn/crisis period?;"Parcialmente Documentado. La Política identifica rubros contables generales (ej. 130000 Préstamos) 4y aplicativos específicos (ej. ""aplicativo de Préstamos"", ""descuento de cheques"") 55, así como fuentes externas como Nosis y RIPTE/CER6666. No obstante, no se evidencia un diagrama de arquitectura de datos formal o un linaje detallado de sistemas en el texto provisto.";
10;2;Data Quality and Sources;2.2;Are the sources of input data for IFRS 9 models (e.g., contractual terms, payment history, collateral information) clearly identified, documented, and approved?;"Test 2.2: Review the ""Data Architecture"" diagram or section. Verify inputs are traced to specific IT systems.";"Implícito. No se detallan especificaciones técnicas de ETL o reglas de rechazo a nivel de campo (ej. ""DPD < 0""). Sin embargo, existe un control de integridad al final del proceso de segmentación: ""se verifica que no existan operaciones activas sin asignación a un segmento específico""7.";
